month,gpr_qtrly,gprt_qtrly,gpra_qtrly
4/1/2008,77.3423436482748,76.3405939737956,75.0424779256185
7/1/2008,88.9454116821289,80.7021560668946,95.8958002726237
10/1/2008,78.5357335408529,68.4213905334473,93.21373240153
1/1/2009,75.1555913289388,73.4210637410482,76.3772939046224
4/1/2009,85.4929835001628,83.9744033813477,83.7385889689128
7/1/2009,83.2171630859375,81.4362818400065,78.6497929890951
10/1/2009,88.5416920979818,83.962880452474,90.4354349772136
1/1/2010,82.141108194987,79.1053924560547,83.7206751505534
4/1/2010,91.3913294474284,96.7475814819336,79.3714726765951
7/1/2010,77.1812642415365,72.0281499226888,79.7749201456706
10/1/2010,85.9670003255208,87.0610033671061,83.7325083414714
1/1/2011,102.108136494954,97.9162114461263,107.257886250814
4/1/2011,93.5848439534505,79.940315246582,111.347867329915
7/1/2011,83.0755920410156,64.3768043518067,103.292752583822
10/1/2011,81.6129786173503,82.8845723470052,79.9766108194987
1/1/2012,86.9469248453776,95.2245254516602,75.5084266662598
4/1/2012,84.0034255981445,84.2626113891602,79.4342168172201
7/1/2012,75.6556294759115,72.9094161987305,78.3278935750326
10/1/2012,79.2949549357096,72.0349985758464,86.6859766642253
1/1/2013,82.714848836263,81.2123209635417,88.0014343261719
4/1/2013,87.2660649617513,84.5576858520508,90.7781829833985
7/1/2013,88.4639638264974,84.2269999186198,93.27281443278
10/1/2013,73.7015431722005,76.0317179361979,65.9863777160645
1/1/2014,88.9193496704102,98.4780654907227,72.0981140136719
4/1/2014,91.8058344523112,100.053883870443,81.4129168192546
7/1/2014,135.58539835612,154.901326497396,117.147748311361
10/1/2014,84.8557586669922,85.358871459961,83.2562764485677
1/1/2015,109.38188680013,106.40594736735,114.921076456706
4/1/2015,88.1195958455404,89.6411819458008,85.5792566935221
7/1/2015,96.0182164510091,107.355583190918,79.8474884033203
10/1/2015,130.294881184896,102.664889017741,175.713068644206
1/1/2016,110.5603612264,104.529365539551,118.29308573405
4/1/2016,87.9073333740235,81.9322230021159,95.8733393351237
7/1/2016,105.964721679688,91.676035563151,129.250979105632
10/1/2016,90.2823359171549,84.9367853800456,99.4207331339518
1/1/2017,105.34782409668,109.926701863607,98.6657740275065
4/1/2017,116.276301066081,114.323206583659,118.148434956869
7/1/2017,118.959841410319,142.589068094889,88.1624247233073
10/1/2017,88.9252802530925,103.027676900228,70.6434504191081
1/1/2018,89.6268183390299,109.751502990723,64.0753593444824
4/1/2018,117.632893880208,151.878941853841,71.388064066569
7/1/2018,99.2746734619141,120.946685791016,68.0493265787761
10/1/2018,87.6772435506185,108.813901265462,58.264523824056
1/1/2019,88.8508529663086,110.542490641276,59.9621378580729
4/1/2019,97.4379348754883,124.36046854655,58.5332018534343
7/1/2019,95.7645543416341,120.842381795247,61.7755114237468
10/1/2019,81.7316691080729,95.3363723754883,62.1101557413737
1/1/2020,98.6388448079427,125.032295227051,67.0799929300944
4/1/2020,69.6914927164714,83.6609649658203,46.5492261250814
7/1/2020,70.7722371419271,93.3349126180013,38.0749308268229
10/1/2020,70.0726420084636,87.8347676595052,45.5799388885498
1/1/2021,76.6647567749024,97.9370676676432,48.0107688903809
4/1/2021,85.1001586914063,107.638781229655,55.6161829630534
7/1/2021,76.2014287312826,86.4284083048503,65.0463218688965
10/1/2021,90.3146006266276,123.539746602376,49.5155792236328
1/1/2022,224.596308390299,307.935668945313,139.808564503988
4/1/2022,154.702967325846,183.020690917969,146.456616719564
7/1/2022,127.341952006022,156.979253133138,105.875127156576
10/1/2022,123.691546122233,149.156461079915,107.043284098307
1/1/2023,110.213798522949,128.385785420736,94.8042449951172
4/1/2023,108.602094014486,123.348284403483,93.7622528076172
7/1/2023,102.408259073893,122.356793721517,81.2796579996745
10/1/2023,165.620869954427,161.570933024089,195.107381184896
1/1/2024,146.658727010091,134.206815083822,177.016464233398
4/1/2024,135.713205973307,142.619384765625,136.013343811035
7/1/2024,121.100257873535,117.880663553874,131.807665506999
10/1/2024,133.768513997396,131.707784016927,144.866015116374
1/1/2025,140.459803263346,148.206731160482,135.654426574707
4/1/2025,175.281504313151,215.526392618815,152.23371887207
7/1/2025,135.493270874023,157.503227233887,120.823177337647
